er	0.1713	0.0021	0.0387	0.0125	0.2256
	rs	0.1954
	ri	0.1008
	ra	0.0832
	re	0.0737
	ro	0.0599
	rm	0.0506
	rt	0.0328
	rc	0.0283
	rn	0.0257
	rr	0.0233
	rv	0.0178
	rp	0.0174
	ry	0.0156
	rl	0.0151
	rg	0.0145
	rb	0.0135
	rf	0.0127
	rd	0.0102
	rw	0.0065
	ru	0.006
	rh	0.004
	rk	0.0031
	rj	0.0018
	rz	0.0006
	rq	0.0004
	rx	0.0001
in	0.1617	0.0281	0.0077	0.1737	0.0476
	ng	0.4101
	ne	0.1278
	na	0.0894
	nt	0.0847
	ni	0.0454
	ns	0.0407
	nd	0.0393
	nc	0.0392
	no	0.0374
	nf	0.0213
	nv	0.014
	nk	0.0124
	nn	0.0113
	nu	0.0103
	nh	0.0051
	nq	0.0033
	nl	0.0028
	nm	0.0018
	nj	0.0017
	ny	0.0017
	nb	0.0016
	nw	0.0012
	nx	0.0011
	np	0.0009
	nr	0.0003
	nz	0.0001
es	0.1568	0.0023	0.087	0.0146	0.5548
	ss	0.2181
	st	0.1185
	si	0.0397
	se	0.0265
	sc	0.0247
	sp	0.0136
	so	0.0135
	sh	0.0083
	sa	0.0059
	su	0.0058
	sm	0.0034
	sq	0.0024
	sb	0.0013
	sk	0.0012
	sl	0.0009
	sw	0.0008
	sy	0.0008
	sd	0.0007
	sn	0.0006
	sf	0.0002
	sr	0.0001
	sv	0.0001
	sg	0.0001
ti	0.127	0.0035	0.0023	0.0276	0.0182
	io	0.2427
	ic	0.1976
	in	0.1739
	iv	0.0881
	is	0.0604
	ie	0.0599
	it	0.0333
	ia	0.0326
	il	0.0288
	if	0.0221
	im	0.0206
	id	0.0171
	ig	0.0133
	ib	0.0129
	ip	0.0114
	ir	0.0062
	iu	0.0024
	iz	0.0021
	iq	0.002
	ih	0.0011
	ik	0.0007
	ii	0.0005
	iw	0.0002
	ix	0.0001
	ij	0.0001
	iy	0
at	0.1176	0.0025	0.0018	0.0211	0.0156
	ti	0.3298
	te	0.2658
	to	0.1257
	ta	0.0908
	th	0.0589
	tt	0.0356
	tr	0.0253
	tu	0.0252
	tc	0.0145
	ts	0.0123
	ty	0.0043
	tl	0.0029
	tm	0.0017
	tf	0.0011
	tn	0.0009
	tw	0.0008
	tb	0.0008
	tz	0.0004
	tp	0.0002
	tk	0.0002
	tv	0.0002
	tj	0.0001
	tg	0.0001
te	0.1093	0.0085	0.018	0.0777	0.1648
	er	0.3345
	ed	0.1524
	es	0.1086
	en	0.0867
	el	0.0448
	ee	0.022
	em	0.0193
	ea	0.017
	ec	0.0152
	eo	0.0119
	et	0.0118
	eg	0.007
	ep	0.0059
	ei	0.0056
	ex	0.0036
	eb	0.0034
	eu	0.0032
	ef	0.0027
	ew	0.0017
	ev	0.0008
	eh	0.0007
	ek	0.0004
	ey	0.0004
	ez	0.0002
	eq	0.0001
	ej	0.0001
on	0.1041	0.001	0.024	0.01	0.2305
	ns	0.1627
	ni	0.114
	na	0.0976
	ne	0.0963
	nt	0.0655
	no	0.0475
	nd	0.0443
	nc	0.0388
	ng	0.0303
	nf	0.0227
	nv	0.0182
	ny	0.0145
	nn	0.0125
	nu	0.0073
	np	0.0059
	nl	0.0056
	nj	0.0055
	nr	0.0053
	nm	0.0049
	nk	0.0032
	nh	0.0021
	nw	0.002
	nq	0.002
	nb	0.0015
	nz	0.0014
	nx	0.0001
re	0.1034	0.0341	0.0066	0.3297	0.064
	es	0.1613
	ed	0.0932
	ea	0.0918
	ec	0.0871
	et	0.0712
	en	0.0575
	ep	0.0529
	ee	0.0456
	em	0.0407
	er	0.04
	el	0.0349
	ef	0.0325
	eg	0.0292
	ev	0.0272
	ei	0.0232
	eb	0.0163
	eo	0.0158
	ew	0.0137
	eh	0.0132
	ej	0.0052
	ex	0.0051
	eq	0.005
	eu	0.0044
	ey	0.0034
	ek	0.0022
	ez	0.0009
en	0.1005	0.0092	0.0062	0.0916	0.0621
	nt	0.3141
	ne	0.1436
	nc	0.0849
	nd	0.0837
	ni	0.0777
	ns	0.0731
	no	0.0594
	na	0.0443
	nn	0.0187
	nu	0.0156
	ng	0.0152
	nl	0.0072
	nz	0.0065
	nf	0.0059
	ny	0.0052
	nr	0.0045
	nh	0.004
	nv	0.004
	nj	0.002
	nm	0.0019
	nw	0.0019
	nb	0.0016
	np	0.0013
