is	0.1939	0.0024	0.1461	0.0125	0.7538
	st	0.0593
	ss	0.0327
	sc	0.0327
	se	0.0319
	sp	0.0295
	si	0.0255
	sa	0.0178
	so	0.0137
	sh	0.0094
	su	0.0067
	sm	0.0046
	sq	0.0034
	sl	0.0021
	sb	0.0018
	sk	0.0018
	sn	0.0012
	sr	0.0011
	sy	0.0011
	sf	0.001
	sd	0.0009
	sg	0.0007
	sj	0.0007
	sv	0.0004
	sw	0.0004
	sz	0.0004
en	0.1749	0.0028	0.0007	0.016	0.0038
	ns	0.6123
	nt	0.0946
	ni	0.0737
	na	0.0479
	ne	0.0391
	no	0.035
	nn	0.029
	nd	0.0288
	nu	0.0245
	ng	0.0153
	nc	0.0073
	nb	0.0068
	nk	0.0063
	nz	0.0035
	nh	0.0031
	ny	0.0026
	nr	0.002
	nl	0.0013
	nf	0.0012
	nj	0.0011
	nm	0.0011
	nw	0.0007
	np	0.0006
	nv	0.0005
	nq	0.0003
	nx	0.0002
an	0.1728	0.0128	0.0012	0.0743	0.0071
	na	0.2598
	nu	0.1503
	nt	0.1136
	ni	0.1019
	ng	0.079
	nd	0.0757
	ne	0.0707
	ns	0.0502
	no	0.0488
	nn	0.0326
	nc	0.03
	nk	0.0082
	nz	0.0051
	nj	0.0049
	ny	0.0048
	nh	0.0033
	nb	0.0023
	nl	0.0021
	nm	0.0019
	nf	0.0018
	nq	0.0015
	np	0.0013
	nx	0.0012
	nr	0.0009
	nv	0.0009
	nw	0.0008
us	0.1509	0.0007	0.1285	0.0045	0.8519
	st	0.0402
	sc	0.0334
	si	0.0248
	sa	0.0215
	ss	0.0125
	se	0.0089
	sh	0.0075
	sp	0.0065
	su	0.0058
	so	0.004
	sk	0.0014
	sm	0.0012
	sn	0.0009
	sb	0.0008
	sl	0.0007
	sr	0.0005
	sq	0.0004
	sf	0.0004
	sz	0.0004
	sg	0.0004
	sv	0.0004
	sd	0.0003
	sy	0.0002
	sw	0.0001
	sj	0.0001
la	0.1407	0.0155	0.0451	0.1104	0.3205
	at	0.183
	an	0.1128
	ar	0.0683
	ae	0.0577
	ac	0.0468
	av	0.0441
	am	0.0306
	as	0.0276
	ab	0.0251
	ag	0.021
	au	0.0188
	ad	0.0171
	ai	0.0129
	ap	0.0108
	al	0.0096
	ax	0.0059
	ay	0.0047
	ak	0.0043
	ao	0.0035
	aw	0.0034
	ah	0.0031
	az	0.0027
	af	0.0019
	aa	0.0014
	aj	0.0013
	aq	0.0007
ri	0.1368	0.0032	0.0139	0.0234	0.1014
	ia	0.1749
	is	0.1325
	ic	0.1298
	in	0.0799
	io	0.0453
	id	0.0435
	ie	0.0391
	if	0.0347
	it	0.034
	iu	0.0334
	ig	0.0315
	ip	0.0302
	ii	0.026
	im	0.0217
	il	0.0185
	ib	0.0138
	iv	0.0133
	ix	0.0094
	iz	0.0048
	ir	0.0039
	ik	0.0037
	iq	0.002
	ih	0.0015
	ij	0.0015
	iy	0.0008
	iw	0.0006
si	0.1342	0.008	0.0077	0.06	0.0572
	is	0.6153
	ia	0.0506
	in	0.041
	im	0.0399
	ic	0.0334
	ii	0.0285
	il	0.0281
	ig	0.0172
	ip	0.0156
	io	0.0155
	it	0.0152
	if	0.0142
	ie	0.0141
	id	0.0126
	ir	0.0068
	iu	0.0065
	ib	0.0061
	iv	0.0047
	ik	0.0029
	ih	0.0007
	ij	0.0006
	iz	0.0006
	ix	0.0003
	iq	0.0003
	iw	0.0002
	iy	0.0002
ns	0.1221	0	0.0142	0.0001	0.1167
	si	0.6601
	se	0.1587
	sa	0.0113
	st	0.0107
	so	0.01
	su	0.0094
	sk	0.0068
	sh	0.0064
	sc	0.0048
	sp	0.0047
	sv	0.0031
	sl	0.002
	ss	0.0016
	sb	0.0015
	sm	0.0012
	sf	0.0011
	sd	0.0005
	sy	0.0005
	sw	0.0004
	sz	0.0004
	sn	0.0003
	sg	0.0003
	sr	0.0003
	sj	0.0002
	sq	0.0002
er	0.1211	0.0045	0.0049	0.0376	0.0404
	ri	0.2288
	ra	0.1519
	ro	0.087
